iter	RMSE
0	0.3736294632
1	0.3646290221
2	0.356223287
3	0.3488113052
4	0.3427763809
5	0.3371373312
6	0.3321985155
7	0.3275106391
8	0.3243570206
9	0.3206144603
10	0.3179722034
11	0.3150517619
12	0.3128074003
13	0.3112614179
14	0.309592784
15	0.3080852864
16	0.3068035012
17	0.3053396651
18	0.303964522
19	0.3028263159
20	0.3019831876
21	0.3012487958
22	0.3004092781
23	0.2996628193
24	0.2990468667
25	0.2985059913
26	0.2977379928
27	0.297175937
28	0.2966066947
29	0.2958601523
30	0.2954298507
31	0.2950467604
32	0.2947807584
33	0.2944032325
34	0.2941280891
35	0.2935716518
36	0.2930743481
37	0.2926879301
38	0.2923817767
39	0.2919545719
40	0.29165375
41	0.2913891279
42	0.2909246434
43	0.2906439061
44	0.2902508545
45	0.2899774063
46	0.2897384009
47	0.2894545627
48	0.2891630649
49	0.2889927873
50	0.2887337773
51	0.2885557473
52	0.2884196328
53	0.2881929608
54	0.2878572348
55	0.2876356091
56	0.2874932429
57	0.2873154986
58	0.2871060195
59	0.2868638752
60	0.286648329
61	0.2865370902
62	0.2863644635
63	0.286121725
64	0.2859468119
65	0.2857096423
66	0.2854354488
67	0.2852334153
68	0.2850054064
69	0.2848513865
70	0.2846601183
71	0.2844104009
72	0.2841050682
73	0.2839475897
74	0.2837139259
75	0.283592004
76	0.2833106936
77	0.2831782348
78	0.2830565577
79	0.2828299308
80	0.2826650303
81	0.2825528702
82	0.2824160785
83	0.2822405421
84	0.2820612802
85	0.2818079708
86	0.2816133612
87	0.2814662536
88	0.28132631
89	0.2811379234
90	0.2809296749
91	0.2806894339
92	0.2805458949
93	0.28030599
94	0.2800982515
95	0.2798571629
96	0.2795662911
97	0.2793387091
98	0.2791546653
99	0.2790495977
