iter	Passed	Remaining
0	4	473
1	10	495
2	14	462
3	18	440
4	22	431
5	27	426
6	31	416
7	35	411
8	40	404
9	44	397
10	48	391
11	53	389
12	56	380
13	60	371
14	63	360
15	66	350
16	70	342
17	73	332
18	76	324
19	79	316
20	81	308
21	85	301
22	88	295
23	91	288
24	93	281
25	96	275
26	100	270
27	103	265
28	106	259
29	108	254
30	111	248
31	114	243
32	117	238
33	120	233
34	122	228
35	125	223
36	128	218
37	131	214
38	134	210
39	137	206
40	140	201
41	143	197
42	145	193
43	148	189
44	151	185
45	154	181
46	157	177
47	159	173
48	162	169
49	166	166
50	169	162
51	171	158
52	174	154
53	177	150
54	180	147
55	183	143
56	185	140
57	188	136
58	191	133
59	194	129
60	197	126
61	200	122
62	203	119
63	205	115
64	208	112
65	211	109
66	215	106
67	218	102
68	221	99
69	223	95
70	226	92
71	229	89
72	232	86
73	239	84
74	243	81
75	247	78
76	250	74
77	253	71
78	256	68
79	259	64
80	262	61
81	265	58
82	267	54
83	270	51
84	273	48
85	276	45
86	279	41
87	282	38
88	284	35
89	287	31
90	290	28
91	293	25
92	296	22
93	298	19
94	301	15
95	304	12
96	307	9
97	310	6
98	313	3
99	330	0
